date,name,value
2001-12-01,Certain infectious and parasitic diseases,85
2001-12-01,Neoplasms,858
2001-12-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,16
2001-12-01,"Endocrine, nutritional and metabolic diseases",137
2001-12-01,Mental and behavioural disorders,27
2001-12-01,Diseases of the nervous system,72
2001-12-01,Diseases of the circulatory system,1278
2001-12-01,Diseases of the respiratory system,302
2001-12-01,Diseases of the digestive system,97
2001-12-01,Diseases of the skin and subcutaneous tissue,4
2001-12-01,Diseases of the musculoskeletal system and connective tissue,28
2001-12-01,Diseases of the genitourinary system,59
2001-12-01,Certain conditions originating in the perinatal period,28
2001-12-01,"Congenital malformations, deformations and chromosomal abnormalities",21
2001-12-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",35
2001-12-01,External causes of morbidity and mortality,279
2002-01-01,Certain infectious and parasitic diseases,112
2002-01-01,Neoplasms,862
2002-01-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,14
2002-01-01,"Endocrine, nutritional and metabolic diseases",145
2002-01-01,Mental and behavioural disorders,48
2002-01-01,Diseases of the nervous system,89
2002-01-01,Diseases of the circulatory system,1340
2002-01-01,Diseases of the respiratory system,283
2002-01-01,Diseases of the digestive system,107
2002-01-01,Diseases of the skin and subcutaneous tissue,4
2002-01-01,Diseases of the musculoskeletal system and connective tissue,22
2002-01-01,Diseases of the genitourinary system,85
2002-01-01,"Pregnancy, childbirth and the puerperium",1
2002-01-01,Certain conditions originating in the perinatal period,25
2002-01-01,"Congenital malformations, deformations and chromosomal abnormalities",26
2002-01-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",26
2002-01-01,External causes of morbidity and mortality,231
2002-02-01,Certain infectious and parasitic diseases,76
2002-02-01,Neoplasms,779
2002-02-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,15
2002-02-01,"Endocrine, nutritional and metabolic diseases",130
2002-02-01,Mental and behavioural disorders,49
2002-02-01,Diseases of the nervous system,65
2002-02-01,Diseases of the circulatory system,1351
2002-02-01,Diseases of the respiratory system,283
2002-02-01,Diseases of the digestive system,85
2002-02-01,Diseases of the skin and subcutaneous tissue,3
2002-02-01,Diseases of the musculoskeletal system and connective tissue,21
2002-02-01,Diseases of the genitourinary system,82
2002-02-01,"Pregnancy, childbirth and the puerperium",2
2002-02-01,Certain conditions originating in the perinatal period,28
2002-02-01,"Congenital malformations, deformations and chromosomal abnormalities",22
2002-02-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",20
2002-02-01,External causes of morbidity and mortality,201
2002-03-01,Certain infectious and parasitic diseases,116
2002-03-01,Neoplasms,896
2002-03-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10
2002-03-01,"Endocrine, nutritional and metabolic diseases",158
2002-03-01,Mental and behavioural disorders,53
2002-03-01,Diseases of the nervous system,76
2002-03-01,Diseases of the circulatory system,1336
2002-03-01,Diseases of the respiratory system,331
2002-03-01,Diseases of the digestive system,103
2002-03-01,Diseases of the skin and subcutaneous tissue,4
2002-03-01,Diseases of the musculoskeletal system and connective tissue,18
2002-03-01,Diseases of the genitourinary system,73
2002-03-01,"Pregnancy, childbirth and the puerperium",2
2002-03-01,Certain conditions originating in the perinatal period,31
2002-03-01,"Congenital malformations, deformations and chromosomal abnormalities",36
2002-03-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32
2002-03-01,External causes of morbidity and mortality,267
2002-04-01,Certain infectious and parasitic diseases,81
2002-04-01,Neoplasms,852
2002-04-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,11
2002-04-01,"Endocrine, nutritional and metabolic diseases",161
2002-04-01,Mental and behavioural disorders,31
2002-04-01,Diseases of the nervous system,87
2002-04-01,Diseases of the circulatory system,1214
2002-04-01,Diseases of the respiratory system,251
2002-04-01,Diseases of the digestive system,92
2002-04-01,Diseases of the skin and subcutaneous tissue,2
2002-04-01,Diseases of the musculoskeletal system and connective tissue,21
2002-04-01,Diseases of the genitourinary system,64
2002-04-01,"Pregnancy, childbirth and the puerperium",2
2002-04-01,Certain conditions originating in the perinatal period,39
2002-04-01,"Congenital malformations, deformations and chromosomal abnormalities",21
2002-04-01,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",31
2002-04-01,External causes of morbidity and mortality,257
2002-05-01,Certain infectious and parasitic diseases,87
2002-05-01,Neoplasms,875
2002-05-01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,12
2002-05-01,"Endocrine, nutritional and metabolic diseases",127
2002-05-01,Mental and behavioural disorders,48
2002-05-01,Diseases of the nervous system,70
2002-05-01,Diseases of the circulatory system,1154
2002-05-01,Diseases of the respiratory system,215
2002-05-01,Diseases of the digestive system,106
2002-05-01,Diseases of the skin and subcutaneous tissue,6
2002-05-01,Diseases of the musculoskeletal system and connective tissue,24
2002-05-01,Diseases of the genitourinary system,80
2002-05-01,"Pregnancy, childbirth and the puerperium",2
2002-05-01,Certain conditions originating in the perinatal period,30
2002-05-01,"Congenital malformations, deformations and chromosomal abnormalities",17
